requirement_id,section,requirement,priority,acceptance_criteria,design_component,verification_method,test_case_id,test_status,test_evidence
BRD-001,6.1 Data acquisition and harmonization,The system shall ingest CMS Transparency in Coverage PUF for plan years 2022 through 2026,Must,All five workbooks ingested; row counts reconcile to source in `outputs/reconciliation.csv`,src/download_tcpuf.py,Automated UAT,TC-001,PASS,"5 plan years, 25,666 source rows"
BRD-002,6.1 Data acquisition and harmonization,The system shall harmonize three source schema generations into one canonical panel,Must,Every source column is either mapped or listed as unmapped in the reconciliation output; no column is silently dropped,src/config.py :: COLUMN_MAP,Automated UAT,TC-002,PASS,"3 generations harmonized; 25 source columns explicitly listed as unmapped (disclosed, not dropped silently)"
BRD-003,6.1 Data acquisition and harmonization,The system shall preserve CMS suppression markers as distinguishable states rather than coercing them to zero,Must,"Each measure has a companion `_flag` column recording `not_available`, `suppressed_small_cell`, `not_required`, or `not_applicable`; suppressed values are NULL, never 0",src/harmonize.py :: clean_numeric,Automated UAT,TC-003,PASS,"32 flag columns; 17,347 rows carry >=1 suppression marker; 0 coerced to zero"
BRD-004,6.1 Data acquisition and harmonization,The system shall deduplicate issuer-level measures to issuer grain before aggregation,Must,Issuer totals computed at issuer grain; DQ log quantifies the overstatement a naive sum would produce,src/harmonize.py :: build_issuer_panel,Automated UAT,TC-004,PASS,"1,043 issuer-years, 0 duplicates; naive plan-grain sum would overstate volume 84.1x"
BRD-005,6.1 Data acquisition and harmonization,The system shall suppress computed rates below a minimum denominator,Should,Denial rates require ≥ 100 claims received; overturn rates require ≥ 10 appeals filed,src/config.py :: MIN_CLAIMS_FOR_RATE,Automated UAT,TC-005,PASS,denominator floors enforced on denial and overturn rates
BRD-006,6.1 Data acquisition and harmonization,The system shall reject rates exceeding 100%,Must,Any rate > 1.0 is set NULL and logged with severity High,src/harmonize.py :: build_plan_panel,Automated UAT,TC-006,PASS,"7 rate fields validated within [0, 1]"
BRD-007,6.1 Data acquisition and harmonization,"The system shall produce a data quality log with severity, finding, treatment, and rows affected",Must,`outputs/dq_log.csv` exists with all four attributes populated for every finding,src/harmonize.py :: log_dq,Automated UAT,TC-007,PASS,"112 findings across 7 IDs; 2 Critical, 3 High"
BRD-010,6.2 Denial root-cause attribution,The system shall map each payer denial reason category to an RCM root cause,Must,All 10 source categories mapped; no category unmapped,src/config.py :: ROOT_CAUSE_TAXONOMY,Automated UAT,TC-010,PASS,10/10 mapped across 6 accountable owners
BRD-011,6.2 Denial root-cause attribution,The system shall assign each root cause to a named accountable owner,Must,Every root cause carries an owner from the agreed org list,src/config.py :: ROOT_CAUSE_TAXONOMY.owner,Automated UAT,TC-010,PASS,10/10 mapped across 6 accountable owners
BRD-012,6.2 Denial root-cause attribution,The system shall record representative X12 CARC codes for each root cause,Should,CARC examples present for all categories except `Unclassified`,src/config.py :: ROOT_CAUSE_TAXONOMY.x12_carc_examples,Automated UAT,TC-010,PASS,10/10 mapped across 6 accountable owners
BRD-013,6.2 Denial root-cause attribution,The system shall compute denial reason mix only from plan-years whose categories reconcile to reported total denials,Must,Reason mix excludes non-reconciling rows; reconciliation rate is reported,src/analyze.py :: reason_mix,Automated UAT,TC-013,PASS,"mix computed on 4,640 of 25,666 plan-years (18%); shares sum to 1.0"
BRD-014,6.2 Denial root-cause attribution,"The system shall express preventability per root cause as an explicit, adjustable parameter",Must,Preventability declared per category in config and adjustable in the dashboard,src/config.py :: ROOT_CAUSE_TAXONOMY.preventability,Automated UAT,TC-014,PASS,"10 categories; preventability 25%-90%, effort 0.5-4.0h"
BRD-015,6.2 Denial root-cause attribution,"The system shall express appeal effort per root cause as an explicit, adjustable parameter",Must,Effort hours declared per category and flow into appeal cost,src/config.py :: ROOT_CAUSE_TAXONOMY.effort_hours,Automated UAT,TC-014,PASS,"10 categories; preventability 25%-90%, effort 0.5-4.0h"
BRD-016,6.3 Value model,The system shall derive average allowed amount per claim from published payment data rather than assert it,Must,"Derivation reads CMS DY2024 inpatient, outpatient, and physician files; every step is logged to `outputs/claim_value_derivation.csv`",src/derive_claim_value.py,Automated UAT,TC-016,PASS,"$1,336.32/claim from 1,506,136 distinct rows across 3 CMS files, allocated over 4 buckets"
BRD-017,6.3 Value model,The system shall separate observed inputs from assumed inputs in all reporting,Must,"Dashboard Method tab classifies every input as Observed, Derived, or Assumed",app.py :: Method tab,Automated UAT,TC-017,PASS,6 assumptions declared with bounds and sources; 0 observed rates among them
BRD-018,6.3 Value model,The system shall compute recovery value net of the cost to obtain it,Must,Net recovery = gross recovery − appeal cost; ROI reported per category,src/analyze.py :: recovery_model,Automated UAT,TC-018,PASS,"5/10 categories appeal-positive; selective $287,651 vs blanket $21,583"
BRD-019,6.3 Value model,The system shall recommend appeal only for categories where ROI exceeds 1.0,Must,`appeal_recommended` flag set per category; selective and blanket totals both reported,src/analyze.py :: appeal_recommended,Automated UAT,TC-018,PASS,"5/10 categories appeal-positive; selective $287,651 vs blanket $21,583"
BRD-020,6.3 Value model,The system shall value denial prevention separately from denial recovery,Must,Prevention value and net recovery reported as distinct measures,src/analyze.py :: prevention_value,Automated UAT,TC-020,PASS,"prevention $5,063,865 vs recovery $287,651 (18x)"
BRD-021,6.5 Constraint disclosure,The system shall disclose the share of denials reported as unclassified and flag the limit this places on root-cause management,Must,Unclassified share displayed prominently with the associated recommendation,app.py :: unclassified warning,Automated UAT,TC-021,PASS,unclassified share 60.4% disclosed
BRD-022,6.3 Value model,The system shall perform one-at-a-time sensitivity analysis across every assumption,Must,`outputs/sensitivity.csv` covers all assumptions at declared low and high bounds,src/analyze.py :: sensitivity,Automated UAT,TC-022,PASS,6 assumptions x 2 bounds tested
