dq_id,severity,plan_year,field,finding,treatment,rows_affected
DQ-010,Critical,n/a,MUP_OUT Avg_Mdcr_Alowd_Amt (scope),"The CMS outpatient file covers Comprehensive APCs only (63,518 priced rows across 68 procedural APC groups, averaging $5,123 per service). Routine outpatient volume (lab, imaging, clinic, therapy) is absent. Using this as the outpatient average overstates blended claim value roughly tenfold.",Outpatient split into a procedural bucket priced from observed C-APC data and an ancillary bucket derived from the professional per-line rate with a facility uplift,63518
DQ-009,Critical,all,issuer_claims_* (denormalization),"Issuer-level values repeat across all plan rows. Naive summation yields 157,772,405,042 claims against a true 1,875,320,210, a 84.1x overstatement",Deduplicated to issuer-year grain before any issuer-level aggregation,25666
DQ-003,High,2024,"Issuer_Claims_Denied_Out_of_Network""",Source header contains a stray trailing double quote,Mapped explicitly in config.COLUMN_MAP; a naive rename would drop the column,5050
DQ-006,High,all,plan_denials_classified vs plan_claims_denied_total,6250 plan-years where reason categories do not reconcile to reported total denials within 2 percent,"Flagged via reason_reconciles=False; reason-mix analysis uses only reconciling rows, volume analysis uses all rows",6250
DQ-007,High,all,denial_rate,1 plan-years report more denials than claims received,Coerced to NULL; a rate above 100 percent indicates a source reporting error,1
DQ-001,Medium,2022,issuer_internal_appeals_filed,230 rows carry CMS suppression markers {'suppressed_small_cell': 230},Retained as NULL with a companion _flag column; excluded from rate denominators,230
DQ-001,Medium,2022,issuer_internal_appeals_overturned,314 rows carry CMS suppression markers {'suppressed_small_cell': 314},Retained as NULL with a companion _flag column; excluded from rate denominators,314
DQ-001,Medium,2022,issuer_external_appeals_filed,1337 rows carry CMS suppression markers {'suppressed_small_cell': 1337},Retained as NULL with a companion _flag column; excluded from rate denominators,1337
DQ-001,Medium,2022,issuer_external_appeals_overturned,1815 rows carry CMS suppression markers {'suppressed_small_cell': 1815},Retained as NULL with a companion _flag column; excluded from rate denominators,1815
DQ-001,Medium,2022,plan_claims_received_total,12 rows carry CMS suppression markers {'suppressed_small_cell': 12},Retained as NULL with a companion _flag column; excluded from rate denominators,12
DQ-001,Medium,2022,plan_claims_denied_total,33 rows carry CMS suppression markers {'suppressed_small_cell': 33},Retained as NULL with a companion _flag column; excluded from rate denominators,33
DQ-001,Medium,2022,den_referral_required,221 rows carry CMS suppression markers {'suppressed_small_cell': 221},Retained as NULL with a companion _flag column; excluded from rate denominators,221
DQ-001,Medium,2022,den_service_excluded,216 rows carry CMS suppression markers {'suppressed_small_cell': 216},Retained as NULL with a companion _flag column; excluded from rate denominators,216
DQ-001,Medium,2022,den_med_nec_other,454 rows carry CMS suppression markers {'suppressed_small_cell': 454},Retained as NULL with a companion _flag column; excluded from rate denominators,454
DQ-001,Medium,2022,den_med_nec_behavioral,272 rows carry CMS suppression markers {'suppressed_small_cell': 272},Retained as NULL with a companion _flag column; excluded from rate denominators,272
DQ-001,Medium,2022,den_other,43 rows carry CMS suppression markers {'suppressed_small_cell': 43},Retained as NULL with a companion _flag column; excluded from rate denominators,43
DQ-001,Medium,2022,avg_monthly_enrollment,102 rows carry CMS suppression markers {'not_available': 102},Retained as NULL with a companion _flag column; excluded from rate denominators,102
DQ-001,Medium,2022,avg_monthly_disenrollment,247 rows carry CMS suppression markers {'not_available': 247},Retained as NULL with a companion _flag column; excluded from rate denominators,247
DQ-001,Medium,2023,issuer_internal_appeals_filed,324 rows carry CMS suppression markers {'suppressed_small_cell': 324},Retained as NULL with a companion _flag column; excluded from rate denominators,324
DQ-001,Medium,2023,issuer_internal_appeals_overturned,608 rows carry CMS suppression markers {'suppressed_small_cell': 608},Retained as NULL with a companion _flag column; excluded from rate denominators,608
DQ-001,Medium,2023,issuer_external_appeals_filed,1761 rows carry CMS suppression markers {'suppressed_small_cell': 1761},Retained as NULL with a companion _flag column; excluded from rate denominators,1761
DQ-001,Medium,2023,issuer_external_appeals_overturned,1739 rows carry CMS suppression markers {'suppressed_small_cell': 1739},Retained as NULL with a companion _flag column; excluded from rate denominators,1739
DQ-001,Medium,2023,plan_claims_received_total,2 rows carry CMS suppression markers {'suppressed_small_cell': 2},Retained as NULL with a companion _flag column; excluded from rate denominators,2
DQ-001,Medium,2023,plan_claims_denied_total,37 rows carry CMS suppression markers {'suppressed_small_cell': 37},Retained as NULL with a companion _flag column; excluded from rate denominators,37
DQ-001,Medium,2023,den_referral_required,213 rows carry CMS suppression markers {'suppressed_small_cell': 213},Retained as NULL with a companion _flag column; excluded from rate denominators,213
DQ-001,Medium,2023,den_service_excluded,205 rows carry CMS suppression markers {'suppressed_small_cell': 205},Retained as NULL with a companion _flag column; excluded from rate denominators,205
DQ-001,Medium,2023,den_med_nec_other,436 rows carry CMS suppression markers {'suppressed_small_cell': 436},Retained as NULL with a companion _flag column; excluded from rate denominators,436
DQ-001,Medium,2023,den_med_nec_behavioral,307 rows carry CMS suppression markers {'suppressed_small_cell': 307},Retained as NULL with a companion _flag column; excluded from rate denominators,307
